id_text	id_label
0.3916522063982541 0.14499615673056448 1.1316609441094008 0.7073588302209246 -0.7764641244686686 -0.3925367542765276 -1.320620407864114 -1.8030422501742385 0.1044145157874575 -0.5354263629989959	0
-0.30339223718707103 -1.2392107624136535 -1.0125819964664513 0.6418446212817046 1.0548873164891996 0.19564548517835514 0.7897515291606894 0.5020451634501297 0.8141898083582666 0.9015459228580732	0
0.17580757652376988 -1.997429451263098 -0.5633192523251753 -0.6927601079837968 2.181923248601424 -0.3500232509863676 0.6407277322367618 2.919379668737921 -0.5691087201338739 -0.8810287997137067	1
-0.21494964783542717 -0.9371874227407726 0.9852772558277302 1.1828179425159862 -0.8398100673705569 -0.36608872906830436 -0.48437936270794324 -0.7944875409618316 0.7234983232817476 -0.2624935473097813	0
-0.618739728594219 -0.29658487673139067 -0.8228686026486977 -0.4523713796222345 -0.7926821499595951 1.2055450267116907 -1.6885691478617482 -1.5666308537501192 1.9305614146022234 -0.57530972918507	1
-0.255345893008948 0.6078459810794541 1.291775184789339 -1.6242702880228421 0.6451065428435135 -0.0335187200368697 -0.15292814699288054 -0.18543533687820699 -0.042088712272913 0.1402283984462773	0
-0.7308994409437758 -0.11103052664147992 -0.2580068351763481 -1.278841586269768 -1.3402672830115478 -1.1733891983970879 -0.4317279985533531 -0.13438256000616758 -0.8179994797671077 -0.059906200879656986	2
-1.1667572978897538 0.7337087014171934 -0.4254215857906393 1.9013424675129715 0.2034640305611017 -0.7198506938913976 0.7822833796033394 1.6318606856022668 -0.6160543324019453 0.11533367769728316	0
0.4684997429889338 2.2487963672129943 1.9068511415744875 -0.5091259080897708 0.9007128324792708 0.40693898807579654 0.5106477435521382 -2.0050660682948123 1.1833674324801302 -0.8594676342653889	0
-0.3328758747962129 -0.999689634587721 -0.32828756460539277 0.5058177205932641 0.793508916840592 -0.5433391793724287 0.1983332562061156 -0.14917540545863225 -0.6205763330878994 0.2889187955845362	1
-0.3958272492045915 -1.4593279960742473 1.006453174311019 1.1730761974438062 -0.2573355531201928 2.005515620336707 -1.652174839118613 -1.5469811323076577 -0.13154207297136566 1.9301857403031604	1
-0.8555747297382079 0.11244834060206362 -0.32742860400353824 -1.109773055870376 0.32764652515831705 0.37094677589943764 -0.21259699782368663 -0.02783096075082142 0.7806009354519956 -0.22172172291402178	1
1.8270598586516122 0.49823319976099834 -1.5211724001916127 -0.0170721886019079 -0.561136236166801 -0.8580476034756532 -1.3784305545085975 -0.6062518872777491 -0.8897047611065086 0.8042665866781588	2
-1.0803303509459465 -0.6573899159471015 -0.4962164164106392 1.8178686947206115 -1.8764907164802647 2.417602067105128 -1.4091053357794199 0.49559204652808686 0.86784320507863 0.48383300752537506	0
-0.17017092568693673 1.9884397327774017 -0.15067926099908419 0.8275775093442542 0.8368678765849951 -1.3908237312484502 -0.9863364836414966 -1.333271982889472 1.3010901416878506 -0.1880334053955696	0
-0.8753051196697316 -0.18963613660231504 -0.2836405276440659 1.2229652916121057 0.5605998984318278 0.9861338294072963 -0.7872114932374692 0.37933764955138943 -0.19584849771133817 -0.2062525737661794	2
-0.6467910971086253 0.47737795469669025 -0.36541764136358224 0.07395792291811276 -0.7154344393707485 -0.5583802907690596 -1.362768485730664 1.9481223915032821 -0.19327095322328222 -1.2952930348213456	0
0.39887066368241203 0.4808478381055674 0.3654200619508335 0.3034641657391383 1.9605904364297932 0.21981754136992362 -0.580585969258751 0.2618816918043814 0.6092300750095215 0.4330000739617525	1
1.2044329833423832 -0.18180556128493 0.664984614937281 0.11365906498721534 -1.0242679821125185 -0.8065830346751116 -0.9621307303795774 1.8178217385581972 1.047541027168183 0.10023676347479749	0
0.5825837203231229 0.5238419174016082 1.0389720057618606 -0.3712356313762955 -1.590783536537766 0.1366206005626298 1.5511896678534387 -1.0304163381178704 0.5782547209371743 -1.283872832754303	0
-0.29048817234396673 1.093216453579922 -0.01850395943407983 1.4339400579820147 0.3367287792044955 0.22384973231231126 -0.1031723438901481 -0.670832344891202 -1.330491428432671 0.10181164975629745	0
0.27062006358074975 -1.7461053492342375 0.9273439879959018 0.263016630081065 -0.15732370230956705 -0.6531248062952579 -0.14292343931669932 1.8928948588715757 0.794480312009658 -0.09499088046287925	0
-0.294713850275389 -0.9703300914750308 0.41419671393673035 -1.1744384010244446 -1.2400302257344404 -0.9335715488215658 -0.17700929422551478 -0.19208088156624886 -0.7907187924089455 -0.8739845128008132	2
1.4619198756788303 -0.5975531358246394 -0.6494436893189366 1.1337549189111897 0.17202174345483948 -1.3414666440195973 -0.0868132366986783 -0.7581742716341202 -1.4416378908580925 -0.6121058467360688	2
-1.097218105317698 1.3088314338630591 2.8458689708691614 -0.07133566689153051 2.2557477686190723 -0.5761535566197924 0.15033329810872476 0.982249568141196 1.6532816786760653 0.4668622971272073	0
0.31889378775685706 0.04612441493062119 0.7874339506746754 0.9947708963064615 -1.8925333316790385 -0.2882935206508331 0.12285925744622206 1.9237693122908799 0.009434611998754488 -0.3525912258145552	2
