id_text	id_label
0.8200302900401327 0.04028291166945536 0.36365095483570575 0.04697127509766805 -0.9292343298252863 2.28217703478915 -1.242146871440912 0.1273933640601212 -0.6995418171559393 -0.0633760615035815	1
-1.5714576111831775 1.56023995492015 0.46081369312636256 -0.09772191958579673 0.09052808569409482 2.407585567721244 -0.6457424551532871 0.2404190051651749 -0.08273193134236623 -1.5576005412674918	0
-0.42412971241728226 0.5012972305208498 0.9526631966554533 0.6919489971562762 0.24609118325228543 1.5697266885613863 1.505809911981404 0.17148432813845932 2.615755018962668 -0.38781247225309734	1
1.4155963257815873 1.5759729267019775 -1.3222773069625455 -0.022899332688289642 1.0208523864402244 1.327197520773244 -0.5241372700996534 0.9428447088796319 -1.80830255743181 1.8432559818799525	1
1.0606787334210215 0.4766805345691957 0.76450222901051 -0.3223564959483952 0.9714891119540819 0.16259314706303601 -0.0028084525326959597 -1.3490807150239883 1.2323367886764305 1.9775867698125709	1
0.4920023155520481 0.7790688404351744 0.15815960095712783 -0.8605636216362593 -0.47785976479761516 0.2033094705056717 0.3051411661217338 -1.3221288628921073 -1.4553295872048158 1.3123322372967072	1
1.0639902496182794 -0.8806668365041248 -0.13053446970659233 0.93522049336288 -0.3034681575297353 0.07683176065074357 0.12668967185136853 -0.020799777324186697 0.8622872097117228 1.002566364565287	1
-0.7479354427450093 -0.27320405256369107 0.8859868023019352 -0.5640523511866444 -0.7128522094384959 0.8619030362076505 -0.2986106287712609 -1.436569192593261 0.7069247658956832 0.9939395570462305	2
1.7108372377355807 0.879156822217723 0.8202730663696967 -0.6779474883857091 -0.3604075769226315 0.07186620769552879 0.4655793787162945 0.670673008404808 0.47724646978577384 1.450041252494243	2
-0.6068243161523175 0.286554236204009 0.11834054799588023 0.9795727503038327 -1.3898486482591634 1.3669084135111804 0.790719039955151 -0.03308883824200792 -1.395999020020288 0.6118507746069927	0
2.4982141921325884 0.1352425157690461 0.06776727288338269 0.1012059690342639 -1.5971946041799845 0.8130271986086762 0.14916622477710537 0.2858001289331581 -1.4134539432704294 -1.319570466102998	2
-0.3556865250849037 0.7105927520304778 -2.029784230466779 -0.357818463635029 -0.33130474328309145 2.646470933135915 1.8975399205724368 0.4978678777932213 0.3723512815261342 -1.6357994483698415	2
1.2295934869169547 -1.119666472063421 1.637156265625946 -0.6951854768532446 -0.4247416101233966 0.5327086236160743 -0.3291119973015584 1.1739200101189176 0.2173304534837416 2.160787597554082	1
1.2154648786795343 -0.820917304333338 1.8410100945380057 0.01609881853757747 0.9623962616823064 -0.3195828143529501 1.269102795674798 -0.60685534957727 1.10380678762531 -0.3684586222652326	2
